Country, Population, Area, Density,
Monaco,39242,2,19621,
Gabon,2225734,257,8660,
Kazakhstan,18776707,2699,6956,
Mauritania,4649658,1030,4514,
Guyana,786552,196,4013,
Holy See,801,0.2,4005,
Libya,6871292,1759,3906,
Suriname,586632,156,3760,
Iceland,341243,100,3412,
Namibia,2540905,823,3087,
Bahrain,1701575,760,2238,
Mongolia,3278290,1553,2110,
Maldives,540544,300,1801,
Malta,441543,320,1379,
Bangladesh,164689383,130170,1265,
Palestine State,5101414,6020,847,
Micronesia,548914,700,784,
Barbados,287375,430,668,
Lebanon,6825445,10230,667,
Mauritius,1271768,2030,626,
San Marino,33931,60,565,
Nauru,10824,20,541,
South Korea,51269185,97230,527,
Rwanda,12952218,24670,525,
Netherlands,17134872,33720,508,
Comoros,869601,1861,467,
India,1380004385,2973190,464,
Burundi,11890784,25680,463,
Haiti,11402528,27560,413,
Israel,8655535,21640,399,
Tuvalu,11792,30,393,
Belgium,11589623,30280,382,
Philippines,109581078,298170,367,
Japan,126476461,364555,346,
Sri Lanka,21413249,62710,341,
Grenada,112523,340,330,
Marshall Islands,59190,180,328,
El Salvador,6486205,20720,313,
Vietnam,97338579,310070,313,
Saint Lucia,183627,610,301,
Pakistan,220892340,770880,286,
Saint Vincent and the Grenadines,110940,390,284,
United Kingdom,67886011,241930,280,
Jamaica,2961167,10830,273,
Trinidad and Tobago,1399488,5130,272,
Qatar,2881053,11610,248,
Luxembourg,625978,2590,241,
Germany,83783942,348560,240,
Kuwait,4270571,17820,239,
Gambia,2416668,10120,238,
Liechtenstein,38128,160,238,
Sao Tome and Principe,219159,960,228,
Uganda,45741007,199810,228,
Nigeria,206139589,910770,226,
Dominican Republic,10847910,48320,224,
Antigua and Barbuda,97929,440,222,
Switzerland,8654622,39516,219,
North Korea,25778816,120410,214,
Seychelles,98347,460,213,
Italy,60461826,294140,205,
Saint Kitts and Nevis,53199,260,204,
Nepal,29136808,143350,203,
Malawi,19129952,94280,202,
Guatemala,17915568,107160,167,
Andorra,77265,470,164,
China,1439323776,9388211,153,
Togo,8278724,54390,152,
Indonesia,273523615,1811570,150,
Kiribati,119449,810,147,
Tonga,105695,720,146,
Czechia (Czech Republic),10708981,77240,138,
Cabo Verde,555987,4033,137,
Denmark,5792202,42430,136,
Ghana,31072940,227540,136,
Thailand,69799978,510890,136,
Cyprus,1207359,9240,130,
Poland,37846611,306230,123,
Azerbaijan,10139177,82658,122,
Moldova,4033963,32850,122,
France,65273511,547557,119,
United Arab Emirates,9890402,83600,118,
Ethiopia,114963588,1000000,114,
Jordan,10203134,88780,114,
Slovakia,5459642,48088,113,
Portugal,10196709,91590,111,
Sierra Leone,7976983,72180,110,
Austria,9006398,82409,109,
Turkey,84339067,769630,109,
Benin,12123200,112760,107,
Cuba,11326616,106440,106,
Hungary,9660351,90530,106,
Albania,2877797,27400,105,
Armenia,2963243,28470,104,
Slovenia,2078938,20140,103,
Egypt,102334404,995450,102,
Costa Rica,5094118,51060,99,
Serbia,8737371,87460,99,
Malaysia,32365999,328550,98,
Dominica,71986,750,95,
Syria,17500658,183630,95,
Cambodia,16718965,176520,94,
Kenya,53771296,569140,94,
Spain,46754778,498800,93,
Iraq,40222493,434320,92,
Honduras,9904607,111890,88,
Timor-Leste,1318445,14870,88,
Singapore 5850342,700,8,87,
Senegal,16743927,192530,86,
Brunei,437479,5270,83,
Myanmar (formerly Burma),54409800,653290,83,
Romania,19237691,230170,83,
Morocco,36910560,446300,82,
North Macedonia,2083374,25220,82,
C̫te d'Ivoire,26378274,322463,81,
Greece,10423054,128900,80,
Uzbekistan,33469203,425400,78,
Burkina Faso,20903273,273600,76,
Tunisia,11818619,155360,76,
Ukraine,43733762,579320,75,
Croatia,4105267,55960,73,
Ecuador,17643054,248360,71,
Ireland,4937786,68890,71,
Lesotho,2142249,30360,70,
Samoa,198414,2830,70,
Guinea-Bissau,1968001,28120,69,
Tajikistan,9537645,139960,68,
Eswatini (fmr. "Swaziland"),1160164,17200,67,
Tanzania,59734218,885800,67,
Mexico,128932753,1943950,66,
Bosnia and Herzegovina,3280819,51000,64,
Bulgaria,6948445,108560,64,
Afghanistan,38928346,652860,59,
Panama,4314767,74340,58,
Georgia,3989167,69490,57,
Cameroon,26545863,472710,56,
Yemen,29825964,527970,56,
Nicaragua,6624554,120340,55,
Guinea,13132795,245720,53,
Liberia,5057681,96320,52,
Iran,83992949,1628550,51,
Equatorial Guinea,1402985,28050,50,
Fiji,896445,18270,49,
South Africa,59308690,1213090,48,
Madagascar,27691018,581795,47,
Belarus,9449323,202910,46,
Montenegro,628066,13450,46,
Colombia,50882891,1109500,45,
Lithuania,2722289,62674,43,
Djibouti,988000,23180,42,
Bahamas,393244,10010,39,
Democratic Republic of the Congo,89561403,2267050,39,
Mozambique,31255435,786380,39,
Palau,18094,460,39,
Zimbabwe,14862924,386850,38,
United States of America,331002651,9147420,36,
Eritrea,3546421,101000,35,
Kyrgyzstan,6524195,191800,34,
Venezuela,28435940,882050,32,
Estonia,1326535,42390,31,
Laos,7275560,230800,31,
Latvia,1886198,62200,30,
Angola,32866272,1246700,26,
Brazil,212559417,8358140,25,
Chile,19116201,743532,25,
Peru,32971854,1280000,25,
Somalia,15893222,627340,25,
Vanuatu,307145,12190,25,
Solomon Islands,686884,27990,24,
Sudan,43849260,1765048,24,
Sweden,10099265,410340,24,
Zambia,18383955,743390,24,
Bhutan,771608,38117,20,
Niger,24206644,1266700,19,
Papua New Guinea,8947024,452860,19,
Uruguay,3473730,175020,19,
Algeria,43851044,2381740,18,
Finland,5540720,303890,18,
New Zealand,4822233,263310,18,
South Sudan,11193725,610952,18,
Belize,397628,22810,17,
Paraguay,7132538,397300,17,
Argentina,45195774,2736690,16,
Congo (Congo-Brazzaville),5518087,341500,16,
Mali,20250833,1220190,16,
Oman,5106626,309500,16,
Saudi Arabia,34813871,2149690,16,
Norway,5421241,365268,14,
Chad,16425864,1259200,13,
Turkmenistan,6031200,469930,12,
Bolivia,11673021,1083300,10,
Russia,145864296,17098246,8,
Central African Republic,4829767,622980,7,
Botswana,2351627,566730,4,
Canada,37742154,9093510,4,
Australia,25499884,7682300,3,
